crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Jasmine,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,June-August,False,False,coastal_zone,General (all zones)
Jasmine,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,June-August,False,False,southern_zone,General (all zones)
Jasmine,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,June-August,False,False,central_zone,General (all zones)
Jasmine,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,June-August,False,False,northern_zone,General (all zones)
Jasmine,General (all zones),Ornamental Plants,22.0,32.0,5.6,6.5,June-August,False,False,high_ranges,General (all zones)
Jeevakom,High Hills,Medicinal and Aromatic Plants,12.0,25.0,5.0,6.5,May-June (with receipt of summer showers),False,False,high_ranges,High Hills
Kacholam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting in May (pre-monsoon showers),False,False,coastal_zone,General (all zones)
Kacholam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting in May (pre-monsoon showers),False,False,southern_zone,General (all zones)
Kacholam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting in May (pre-monsoon showers),False,False,central_zone,General (all zones)
Kacholam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting in May (pre-monsoon showers),False,False,northern_zone,General (all zones)
Kacholam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planting in May (pre-monsoon showers),False,False,high_ranges,General (all zones)
Kampakam,High Hills,Agroforestry,12.0,25.0,5.0,6.5,Onset of monsoon (planting); sowing soon after seed collection,False,False,high_ranges,High Hills
Kanjiram,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of SW monsoon in May-June,False,False,coastal_zone,General (all zones)
Kanjiram,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of SW monsoon in May-June,False,False,southern_zone,General (all zones)
Kanjiram,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of SW monsoon in May-June,False,False,central_zone,General (all zones)
Kanjiram,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of SW monsoon in May-June,False,False,northern_zone,General (all zones)
Kanjiram,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Planted with onset of SW monsoon in May-June,False,False,high_ranges,General (all zones)
Karinochi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Karinochi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Karinochi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Karinochi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Karinochi,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Kasthurimanjal,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Kasthurimanjal,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Kasthurimanjal,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Kasthurimanjal,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Kasthurimanjal,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Kattarvazha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Kattarvazha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Kattarvazha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Kattarvazha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Kattarvazha,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Koovalam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,coastal_zone,General (all zones)
Koovalam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,southern_zone,General (all zones)
Koovalam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,central_zone,General (all zones)
Koovalam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,northern_zone,General (all zones)
Koovalam,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,General,False,False,high_ranges,General (all zones)
Kurumthotti,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (planting),False,False,coastal_zone,General (all zones)
Kurumthotti,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (planting),False,False,southern_zone,General (all zones)
Kurumthotti,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (planting),False,False,central_zone,General (all zones)
Kurumthotti,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (planting),False,False,northern_zone,General (all zones)
Kurumthotti,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,September-October (planting),False,False,high_ranges,General (all zones)
Lemongrass,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Nursery sown April-May; transplanted with onset of SW monsoon (June-July),False,False,coastal_zone,General (all zones)
Lemongrass,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Nursery sown April-May; transplanted with onset of SW monsoon (June-July),False,False,southern_zone,General (all zones)
Lemongrass,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Nursery sown April-May; transplanted with onset of SW monsoon (June-July),False,False,central_zone,General (all zones)
Lemongrass,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Nursery sown April-May; transplanted with onset of SW monsoon (June-July),False,False,northern_zone,General (all zones)
Lemongrass,General (all zones),Medicinal and Aromatic Plants,22.0,32.0,5.0,6.5,Nursery sown April-May; transplanted with onset of SW monsoon (June-July),False,False,high_ranges,General (all zones)
Lesser yam,General (all zones),Tubers,22.0,32.0,3.5,6.5,March-April,False,False,coastal_zone,General (all zones)
Lesser yam,General (all zones),Tubers,22.0,32.0,3.5,6.5,March-April,False,False,southern_zone,General (all zones)
Lesser yam,General (all zones),Tubers,22.0,32.0,3.5,6.5,March-April,False,False,central_zone,General (all zones)
Lesser yam,General (all zones),Tubers,22.0,32.0,3.5,6.5,March-April,False,False,northern_zone,General (all zones)
Lesser yam,General (all zones),Tubers,22.0,32.0,3.5,6.5,March-April,False,False,high_ranges,General (all zones)
Mahagony,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of monsoon; planting June-July,False,False,coastal_zone,General (all zones)
Mahagony,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of monsoon; planting June-July,False,False,southern_zone,General (all zones)
Mahagony,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of monsoon; planting June-July,False,False,central_zone,General (all zones)
Mahagony,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of monsoon; planting June-July,False,False,northern_zone,General (all zones)
Mahagony,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,Onset of monsoon; planting June-July,False,False,high_ranges,General (all zones)
Maize,General (all zones),Cereals and Millets,22.0,32.0,5.5,8.0,"Kharif (June-July) | Kharif (August-September) | Rabi (January-February,  irrigated)",True,False,coastal_zone,General (all zones)
Maize,General (all zones),Cereals and Millets,22.0,32.0,5.5,8.0,"Kharif (June-July) | Kharif (August-September) | Rabi (January-February,  irrigated)",True,False,southern_zone,General (all zones)
Maize,General (all zones),Cereals and Millets,22.0,32.0,5.5,8.0,"Kharif (June-July) | Kharif (August-September) | Rabi (January-February,  irrigated)",True,False,central_zone,General (all zones)
Maize,General (all zones),Cereals and Millets,22.0,32.0,5.5,8.0,"Kharif (June-July) | Kharif (August-September) | Rabi (January-February,  irrigated)",True,False,northern_zone,General (all zones)
Maize,General (all zones),Cereals and Millets,22.0,32.0,5.5,8.0,"Kharif (June-July) | Kharif (August-September) | Rabi (January-February,  irrigated)",True,False,high_ranges,General (all zones)
Mandarin orange,High Hills,Fruits,12.0,25.0,5.9,6.5,July-August (planting),False,False,high_ranges,High Hills
Mangium,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,General (planting timing not separately specified; nursery Jan-Feb pod collection),False,False,coastal_zone,General (all zones)
Mangium,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,General (planting timing not separately specified; nursery Jan-Feb pod collection),False,False,southern_zone,General (all zones)
Mangium,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,General (planting timing not separately specified; nursery Jan-Feb pod collection),False,False,central_zone,General (all zones)
Mangium,General (all zones),Agroforestry,22.0,32.0,5.0,6.5,General (planting timing not separately specified; nursery Jan-Feb pod collection),False,False,northern_zone,General (all zones)
