crop_name,agro_zone,crop_group,temp_lo,temp_hi,ph_lo,ph_hi,seasons_text,ph_is_real,temp_is_real,service_zone,kau_zone_source
Pineapple,General (all zones),Fruits,15.0,30.0,5.9,6.5,May-June (Kew - main planting season) | April-May and August-September (Mauritius; can be planted all months except heavy rain of June-July),False,True,southern_zone,General (all zones)
Pineapple,General (all zones),Fruits,15.0,30.0,5.9,6.5,May-June (Kew - main planting season) | April-May and August-September (Mauritius; can be planted all months except heavy rain of June-July),False,True,central_zone,General (all zones)
Pineapple,General (all zones),Fruits,15.0,30.0,5.9,6.5,May-June (Kew - main planting season) | April-May and August-September (Mauritius; can be planted all months except heavy rain of June-July),False,True,northern_zone,General (all zones)
Pineapple,General (all zones),Fruits,15.0,30.0,5.9,6.5,May-June (Kew - main planting season) | April-May and August-September (Mauritius; can be planted all months except heavy rain of June-July),False,True,high_ranges,General (all zones)
Potato,High Hills,Cool Season Vegetables,20.0,30.0,5.2,7.0,Summer (March-April) | Autumn (August-December) | Spring (January-February),True,True,high_ranges,High Hills
Pumpkin,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,coastal_zone,General (all zones)
Pumpkin,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,southern_zone,General (all zones)
Pumpkin,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,central_zone,General (all zones)
Pumpkin,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,northern_zone,General (all zones)
Pumpkin,General (all zones),Cucurbitaceous Vegetables,22.0,32.0,5.0,6.5,"January-March | September-December | May-June (rainfed crop, sown after receipt of first showers)",False,False,high_ranges,General (all zones)
Punna,Coastal Plain,Agroforestry,24.0,33.0,5.0,6.5,Monsoon season (planting),False,False,coastal_zone,Coastal Plain
Radish,High Hills,Cool Season Vegetables,12.0,25.0,5.2,7.0,June-January,False,False,high_ranges,High Hills
Ragi,General (all zones),Cereals and Millets,23.0,31.0,5.0,8.0,Main season (June-September) | Late season (July-October) | Summer (December-January to March-April),False,True,coastal_zone,General (all zones)
Ragi,General (all zones),Cereals and Millets,23.0,31.0,5.0,8.0,Main season (June-September) | Late season (July-October) | Summer (December-January to March-April),False,True,southern_zone,General (all zones)
Ragi,General (all zones),Cereals and Millets,23.0,31.0,5.0,8.0,Main season (June-September) | Late season (July-October) | Summer (December-January to March-April),False,True,central_zone,General (all zones)
Ragi,General (all zones),Cereals and Millets,23.0,31.0,5.0,8.0,Main season (June-September) | Late season (July-October) | Summer (December-January to March-April),False,True,northern_zone,General (all zones)
Ragi,General (all zones),Cereals and Millets,23.0,31.0,5.0,8.0,Main season (June-September) | Late season (July-October) | Summer (December-January to March-April),False,True,high_ranges,General (all zones)
Red gram,General (all zones),Pulses,26.0,34.0,5.0,6.5,"Kharif (June-July,  mixed crop) | Rice fallow (after mundakan crop)",False,True,coastal_zone,General (all zones)
Red gram,General (all zones),Pulses,26.0,34.0,5.0,6.5,"Kharif (June-July,  mixed crop) | Rice fallow (after mundakan crop)",False,True,southern_zone,General (all zones)
Red gram,General (all zones),Pulses,26.0,34.0,5.0,6.5,"Kharif (June-July,  mixed crop) | Rice fallow (after mundakan crop)",False,True,central_zone,General (all zones)
Red gram,General (all zones),Pulses,26.0,34.0,5.0,6.5,"Kharif (June-July,  mixed crop) | Rice fallow (after mundakan crop)",False,True,northern_zone,General (all zones)
Red gram,General (all zones),Pulses,26.0,34.0,5.0,6.5,"Kharif (June-July,  mixed crop) | Rice fallow (after mundakan crop)",False,True,high_ranges,General (all zones)
